Question,A,B,C,D,Explanation,Answer
Fundoplication is used in treatment of,Hiatus hernia,Achalasia cardia,CHPS,Ca oesophagus,"Ans. a (Hiatus hernia). (Ref. LB 25th ed., 1024)PARAOESOPHAGEAL ('ROLLING') HIATUS HERNIA# Rolling hiatus hernias are dangerous# Unlike sliding hiatus hernia a rolling hiatus hernia is a true hernia that is prone to complications. True paraoesophageal hernias in which the cardia remains in its normal anatomical position are very rare and confined to museum exhibits and personal collections of interesting cases. The hernia is commonest in the elderly, but may occur in young fit people.# The symptoms of rolling hernia are mostly due to twisting and distortion of the oesophagus and stomach. Dysphagia is common. Chest pain may occur due to distension of an obstructed stomach. Classically the pain is relieved by a loud belch. Symptoms of GORD are variable.# The hernia may be visible on a plain X-ray of the chest as a gas bubble, often with a fluid level behind the heart. Fluid levels are not seen in sliding hernias. A barium meal is the best method of diagnosis. Endoscopic look may be confusing, especially in large hernias endoscopist feels as if have lost sense of direction.# Rolling hernias always require surgical repair as they are potentially dangerous. However, major surgery may not be an attractive prospect in frail elderly patients or in someone who has few symptoms. The essential part of the operation is reduction of the hernia and some form of gastropexy. Some surgeons perform a fundoplication arguing that this is a very effective means of maintaining reduction and that it deals with the associated GORD.# Laparosopic repair has recently become popular. Full anatomical repair of a large rolling hernia can be tedious and difficult by the laparoscopic approach and it is more common simply to reduce the hernia and perform a gastropexy. Some surgeons lay a sheet of prosthetic mesh across the hiatal opening to stop the bowel entering it.# Total or partial fundoplication? The disadvantage of the Nissen fundoplication is that it can produce an overcompetent cardia resulting in dysphagia or the gas bloat syndrome in which belching is prevented. As a result the stomach fills with air and the patient feels very full after meals and passes excessive flatus. The problem of the overcompetent cardia has been largely overcome by the floppy Nissen in which the fundoplication is made very loose around oesophagus and also by making a short fundoplication of 1 cm or so.",A
Order of anastomosis in Whipple's procedure:,"Pancreaticojejunostomy, gastrojejunostomy, hepaticojejunostomy","Hepaticojejunostomy, pancreaticojejunostomy, gastrojejunostomy","Gastrojejunostomy, pancreaticojejunostomy, hepaticojejunostomy","Pancreaticojejunostomy, hepaticojejunostomy, gastrojejunostomy","Tumor position Procedure Head (malignant) Pylorus preserving Whipple's procedure Head (benign) Enucleation Body & Tail Distal pancreatectomy. Whipple's procedure: Pancreaticojejunostomy, Hepaticojejunostomy Gastrojejunostomy Pylorus preserving Whipple's procedure: Pancreaticojejunostomy, Hepaticojejunostomy, Gastrojejunostomy, Duodenojejunostomy. Maxium risk of leak occurs from Pancreaticojejunostomy > Gastrojejunostomy > Hepaticojejunostomy.",D
Unilateral clefts are more common on,Left side,Right side,Median,None of the above,Distribution of cleft lip and cleft palate In unilateral cleft lip the deformity affects left side in 60% cases Typical distribution of cleft types Cleft lip alone :15% Cleft lip & palate :45% (MC) Isolated cleft palate :40% Ref: Sabiston 20th edition Pgno :1946-1947,A
Carotid body tumours,Arises from the endothelial cells,Originates from the Schwann cells,R/T is the Rx of choice,May metastasize,Carotid body tumors may metastasize in rare cases.,D
Most common variant of carcinoma breast among the following is,Invasive lobular carcinoma,Invasive ductal carcinoma,Tubular carcimoma,Medullary carcinoma,"Invasive Epithelial Cancers (Percentage of Total)Invasive lobular carcinoma (10%)Invasive ductal carcinomaInvasive ductal carcinoma, not otherwise specified (50%-70%)Tubular carcinoma (2%-3%)Mucinous or colloid carcinoma (2%-3%)Medullary carcinoma (5%)Invasive cribriform carcinoma (1%-3%)Invasive papillary carcinoma (1%-2%)Adenoid cystic carcinoma (1%)Metaplastic carcinoma (1%)Ref: Sabiston 20e, page: 837",B
Congenital hydrocele is treated by?,No treatment before 5 years,Herniorraphy,Herniotomy,Eversion of sac,"ANSWER: (C) HerniotomyREF: Fundamentals of Operative Surgery - Vipul Yagnik Page 35, Primary Surgery: Volume One: Non-trauma Chapter 7. Hernias' Congenital hydrocele will resolve spontaneously within 1 year. Operation is required only when it persists for longer than 1 year""In congenital hydrocele, the processus vaginalis is patent and connects with the peritoneal cavity. The communication is usually too small to allow herniation of intra-abdominal contents. Pressure on the hydrocele does not always empty it but the hydrocele fluid may drain into the peritoneal cavity when the child is lying down; thus, the hydrocele is often intermittent. Ascites should be considered if the swellings are bilateral.""Congenital hydroceles are treated by herniotomy if they do not resolve spontaneously""Treatment usually, no treatment of congenital hydrocele is indicated, because this condition typically resolves spontaneously by age 1.Most surgeons advocate observation in the majority of infants less than 12 months. Others may continue to be observed for longer, as the majority of patent processes vaginalis will close within the first 12-24 months of life",C
"A 74 year old man develops severe, steady, mild abdominal pain approximately 30 minutes after eating. He has lost 12 Kg over the past few months because he wants to avoid the pain after eating. Abdominal examination during an asymptomatic interval is normal. Stool guaiac examination results are negative, as colonoscopy and barium studies. The complete blood count is normal. What is the most likely diagnosis?",Acute sigmoid diveiculitis,Colorectal cancer,Mesenteric angina,Meckel's diveiculitis,"Mesenteric angina commonly occurs in elderly men. It is characterized by severe midabdominal pain approximately 30 minutes after eating, when splanchnic blood flow is greatest. The pain is so intense that patient is fearful of eating and subsequent weight loss. Potential problems include ischemic damage to the large bowel, with subsequent development of fibrosis and strictures leading to bowel obstruction.",C
Cullen's sign:,Bluish discolouration of the flanks,Bluish discolouration in the umbilicus,Migratory thrombophelebitis,Subcutaneous fat necrosis,(Bluish discolouration in the umbilicus) (1124-Baily & love 24th) (1140-Baily & Love 25th)Acute Pancratitis* Bluish discolouration of the flanks - Grey Turner Sign* Bluish discolouration of the umbilicus - Cullen's sign.,B
high resolution manometry is investigation of choice in all except,achalasia cardia,DES,GERD,nutcracker syndrome,Classification of esophageal motility disorders * Inadequate LES relaxation Classic achalasia Atypical disorders of LES relaxation * Uncoordinated contraction Diffuse esophageal spasm * Hypercontraction Nutcracker esophagus Isolated hypeensive LES * Hypocontraction Ineffective esophageal motility Achalasia Manometric features required for diagnosis * Incomplete relaxation of LES Defined as mean swallow induced fall in resting LES pressure to a nadir value > 8 mm above gastric pressure * Aperistalsis in the body of esophagus Simultaneous esophageal contractions < 40 mm Hg Or no apparent esophageal contractions Manometric features of DES Required - Simultaneous contractions in >10% of wet swallows - Mean simultaneous contraction amplitude >30 mm Hg Not required - Spontaneous contractions - Repetitive contractions - Multiple peaked contractions - Intermittent normal peristalsis If incomplete relaxation of LES is associated Better classified as atypical disorder of LES relaxation Manometric features of nutcracker esophagus Required Mean distal esophageal peristaltic wave amplitude >180 mm Hg (average amplitude of 10 swallows at 2 recording sites positioned 3 & 8 cm above LES) Not required: Peristaltic contractions of long duration found commonly (> 6 sec) Resting pressure in LES is usually normal but may be elevated In this case: nutcracker esophagus + hypeensive LES ref : bailey and love 27th ed,C
A Toddler has few drops of blood coming out of rectum. Probable diagnosis is,Juvenile Rectal Polyp,Adenoid Polyposis Coli,Rectal Ulcer,Piles,"Ans is 'a' i.e. Juvenile Rectal Polyp ""The aetiology and management of rectal bleeding depends on the age of the child, the type and quantity of bleeding and the associated symptoms. Unlike adults, malignancy is exceptionally rare. In infants, an anal fissure, necrotizing enterocolitis, intussusception and allergic enterocolitis are possible causes. In older children, more common causes include an anal fissure, a juvenile polyp and certain gastroenteritides (e.g. Campylobacter infection); Meckel's diverticulum, duplication cyst and inflammatory bowel disease are less common. Bailey and LoveJuvenile polyps are the most common type of childhood polyp, occurring in up to 1% of preschool children. They are usually solitary polyps found in the rectum which most commonly present with rectal bleeding.These are hamartomatous polyps, which are usually pedunculated but can be sessile. ""The typical child with a juvenile polyp is 4 to 6 years of age, presents with intermittent painless rectal bleeding with bowel movements. Rudolph's PediatricsJuvenile polyps are usually are not premalignant.Because the gross appearance of these polyps is identical to adenomatous polyps, these lesions should also be treated by polypectomy.Juvenile polyposis is a term used when more than 5 to 10 juvenile polyps develop.Juvenile polyposis coli applies if the polyps are limited to the colon, whereas generalized juvenile polyposis describes the presence of polyps throughout the GI tract. Both have a significant malignant potential.Other mentioned options are rare in children.Familial Adenomatous Polyposis (FAP) patients present in Td to 3rd decade.Rectal ulcer (solitary rectal ulcer) is commonly seen in 20 to 40 yrs age group.Piles are rare in children. (Ref: Rudolph's Pediatrics, 21/e Chapter 17.22)",A
